TAIL	HEAD	WEIGHT	COLOR	MODULE
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified_meta	86.9631741159721	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	2-methylcitrate/homocitrate_feces	53.8524794901763	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	3-methyl-2-oxovalerate_feces	74.8583680114993	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6703: preQ0 biosynthesis|unclassified_meta	44.8252851758766	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	pregnenediol sulfate (C21H34O5S)*_feces	55.3266914302082	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified_meta	44.0303768794448	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6731: starch degradation III_meta	57.9978336256793	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	oleoyl-oleoyl-glycerol (18:1/18:1) [2]*_feces	58.005398536064	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified_meta	65.8768358835769	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	tyramine O-sulfate_feces	112.855462181578	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	adipate (C6-DC)_feces	152.016678989903	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	famotidine_feces	31.2968740625584	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	ANAEROFRUCAT-PWY: homolactic fermentation|unclassified_meta	59.1620670063221	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	diacylglycerol (14:0/18:1, 16:0/16:1) [1]*_feces	62.5330866327934	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified_meta	63.140825414535	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	63.8968852877094	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	VALSYN-PWY: L-valine biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	69.5586607208283	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified_meta	51.4604399087734	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	vanillin_feces	63.97236691502	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	56.1258187678254	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	VALSYN-PWY: L-valine biosynthesis|unclassified_meta	37.839039270068	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	2-methoxyacetaminophen sulfate*_feces	113.897290026022	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	hexadecenedioate (C16:1-DC)*_feces	44.8398092844937	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified_meta	49.5305343954998	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified_meta	39.6466906301731	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)_meta	42.9029059629416	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	hydroxymethylpyrimidine_feces	72.8575233551298	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	ARO-PWY: chorismate biosynthesis I|unclassified_meta	54.7777927606214	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified_meta	62.6004237161395	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-5100: pyruvate fermentation to acetate and lactate II_meta	53.0224955239717	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified_meta	55.7433658792441	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified_meta	40.4532993333626	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-1042: glycolysis IV (plant cytosol)|unclassified_meta	60.7274737633151	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-5676: acetyl-CoA fermentation to butanoate II_meta	79.8520161982983	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified_meta	46.6516695352474	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY66-422: D-galactose degradation V (Leloir pathway)|unclassified_meta	38.5160511205352	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6317: galactose degradation I (Leloir pathway)|unclassified_meta	55.7156631026371	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	45.772500441612	#cfcfcf	midnightblue_feces
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6737: starch degradation V|unclassified_meta	52.7005511300814	#cfcfcf	midnightblue_feces
