NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
2-methoxyacetaminophen sulfate*_feces	2-methoxyacetaminophen sulfate*_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
2-methylcitrate/homocitrate_feces	2-methylcitrate/homocitrate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
2-oxoarginine*_feces	2-oxoarginine*_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
3-formylindole_feces	3-formylindole_feces	#ECFF7F	100	Ellipse	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
3-methyl-2-oxobutyrate_feces	3-methyl-2-oxobutyrate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
3-methyl-2-oxovalerate_feces	3-methyl-2-oxovalerate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
4-acetamidobenzoate_feces	4-acetamidobenzoate_feces	#A3FFB2	100	Ellipse	1:ECFF7F,1:A3FFB2	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1,1&chco=ECFF7F|A3FFB2	darkturquoise_feces,DEG_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
4-hydroxyphenylpyruvate_feces	4-hydroxyphenylpyruvate_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
4-methyl-2-oxopentanoate_feces	4-methyl-2-oxopentanoate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
