MODULE	NODE	P	FDR	N.mod	N.neigh	N.obsrv	N.expct	MEMBER	FILL	FOLD
midnightblue_feces	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Citrobacter.s__Citrobacter_farmeri_meta	1.64248297071784e-11	2.59132579285875e-09	21	72	20	2.38485804416404	FALSE	0.277777777777778	8.38624338624339
midnightblue_feces	ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	1.79953180059635e-11	2.59132579285875e-09	21	68	21	2.25236593059937	FALSE	0.308823529411765	9.3235294117647
midnightblue_feces	PWY-5898: superpathway of menaquinol-12 biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	1.25547458907709e-10	7.36531922132177e-09	21	72	21	2.38485804416404	FALSE	0.291666666666667	8.80555555555556
midnightblue_feces	PWY-6749: CMP-legionaminate biosynthesis I|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	1.37770210064057e-10	7.36531922132177e-09	21	72	21	2.38485804416404	FALSE	0.291666666666667	8.80555555555556
midnightblue_feces	PWY0-1296: purine ribonucleosides degradation|g__Anaerostipes.s__Anaerostipes_caccae_meta	1.40471333844424e-10	7.36531922132177e-09	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	PWY-5415: catechol degradation I (meta-cleavage pathway)_meta	1.53444150444204e-10	7.36531922132177e-09	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	PWY-6749: CMP-legionaminate biosynthesis I_meta	2.72219837472451e-10	9.53423007907954e-09	21	66	19	2.18611987381703	FALSE	0.287878787878788	8.69119769119769
midnightblue_feces	PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	2.79299011657905e-10	9.53423007907954e-09	21	67	20	2.2192429022082	FALSE	0.298507462686567	9.01208244491827
midnightblue_feces	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Citrobacter.s__Citrobacter_farmeri_meta	3.29428984853733e-10	9.53423007907954e-09	21	72	20	2.38485804416404	FALSE	0.277777777777778	8.38624338624339
midnightblue_feces	PWY-6609: adenine and adenosine salvage III|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	3.31049655523595e-10	9.53423007907954e-09	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerostipes.s__Anaerostipes_caccae_meta	4.78666493353718e-10	1.25323590987155e-08	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	6.08836316002899e-10	1.32701431864762e-08	21	69	20	2.28548895899054	FALSE	0.289855072463768	8.75086266390614
midnightblue_feces	PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)|g__Citrobacter.s__Citrobacter_farmeri_meta	6.21691011932813e-10	1.32701431864762e-08	21	70	20	2.3186119873817	FALSE	0.285714285714286	8.62585034013606
midnightblue_feces	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Citrobacter.s__Citrobacter_farmeri_meta	6.45076404898147e-10	1.32701431864762e-08	21	69	20	2.28548895899054	FALSE	0.289855072463768	8.75086266390614
midnightblue_feces	METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	8.31800121000225e-10	1.59705623232043e-08	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enterococcus.s__Enterococcus_casseliflavus_meta	9.18018006871721e-10	1.6524324123691e-08	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	1.00708680119671e-09	1.70612352202737e-08	21	72	21	2.38485804416404	FALSE	0.291666666666667	8.80555555555556
midnightblue_feces	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	1.26041040069774e-09	2.01665664111638e-08	21	73	21	2.41798107255521	FALSE	0.287671232876712	8.68493150684932
midnightblue_feces	PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)|g__Citrobacter.s__Citrobacter_farmeri_meta	1.42106644088865e-09	2.07744546647037e-08	21	71	20	2.35173501577287	FALSE	0.28169014084507	8.50435949027498
