"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Pantothenate and CoA biosynthesis",19,0.073548,2,0.0020748,2.683,0.17428,0.17428,0.02857
"Glutathione metabolism",28,0.10839,2,0.0045154,2.3453,0.37478,0.18965,0.06023
"Pyrimidine metabolism",39,0.15097,2,0.008684,2.0613,0.71208,0.24315,0.01757
"Thiamine metabolism",7,0.027097,1,0.026836,1.5713,1,0.51441,0
"Taurine and hypotaurine metabolism",8,0.030968,1,0.03062,1.514,1,0.51441,0
"Nicotinate and nicotinamide metabolism",15,0.058065,1,0.056767,1.2459,1,0.72545,0.13816
"Histidine metabolism",16,0.061935,1,0.060454,1.2186,1,0.72545,0
"beta-Alanine metabolism",21,0.08129,1,0.078709,1.104,1,0.82644,0.10448
"Glycine, serine and threonine metabolism",33,0.12774,1,0.12132,0.91607,1,1,0
"Cysteine and methionine metabolism",33,0.12774,1,0.12132,0.91607,1,1,0.09592
"Aminoacyl-tRNA biosynthesis",48,0.18581,1,0.17226,0.76382,1,1,0
