"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Caffeine metabolism",10,0.16774,4,1.2235e-05,4.9124,0.0010277,0.0010277,0
"Biosynthesis of unsaturated fatty acids",36,0.60387,5,0.0002349,3.6291,0.019497,0.0098659,0
"Sphingolipid metabolism",21,0.35226,2,0.046739,1.3303,1,1,0.26978
"Lysine degradation",25,0.41935,2,0.0641,1.1931,1,1,0.04695
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.067097,1,0.065489,1.1838,1,1,0.5
"Glutathione metabolism",28,0.46968,2,0.078339,1.106,1,1,0.00719
"Sulfur metabolism",8,0.13419,1,0.12684,0.89673,1,1,0.21277
"Ascorbate and aldarate metabolism",8,0.13419,1,0.12684,0.89673,1,1,0.5
"Arginine and proline metabolism",38,0.63742,2,0.13169,0.88043,1,1,0.1208
"Fatty acid degradation",39,0.65419,2,0.13743,0.86193,1,1,0
"Ubiquinone and other terpenoid-quinone biosynthesis",9,0.15097,1,0.14157,0.84904,1,1,0
"Phenylalanine metabolism",10,0.16774,1,0.15605,0.80674,1,1,0
"Primary bile acid biosynthesis",46,0.77161,2,0.17897,0.74722,1,1,0.01782
"Fatty acid biosynthesis",47,0.78839,2,0.18507,0.73266,1,1,0.01473
"Pentose and glucuronate interconversions",18,0.30194,1,0.26376,0.5788,1,1,0.125
"Inositol phosphate metabolism",30,0.50323,1,0.40091,0.39695,1,1,0
"Steroid hormone biosynthesis",85,1.4258,2,0.42225,0.37443,1,1,0
"Glycine, serine and threonine metabolism",33,0.55355,1,0.43115,0.36537,1,1,0
"Glycerophospholipid metabolism",36,0.60387,1,0.45992,0.33732,1,1,0.01736
"Fatty acid elongation",39,0.65419,1,0.48729,0.31222,1,1,0
"Tyrosine metabolism",42,0.70452,1,0.51332,0.28961,1,1,0.13972
"Aminoacyl-tRNA biosynthesis",48,0.80516,1,0.56162,0.25056,1,1,0
"Purine metabolism",65,1.0903,1,0.67474,0.17086,1,1,0
