ID1	ID7	ID13	ID19	ID25	ID31	ID37	ID43	ID49	ID55	ID61	ID67	ID73	ID79	ID85	ID91	ID97	ID103	ID109	ID115
mevalonate	6.861557761	0.998023261	2.043209404	1.001976739	0.371631719	0.035479628	1.02338169	0.982221334	4.095616757	4.973320216	1.008983016	0.632761013	1.073954327	0.57685142	1.147102657	1.137404531	0.197565231	0.104476926	0.060970691	0.119905717
putrescine	0.067864729	0.077522202	2.27454732	0.030203807	2.058940323	0.934327669	0.47277649	2.923366037	3.580755799	3.57645539	0.013676395	0.440647839	1.231373356	0.264314469	1.065672331	0.013676395	4.264782338	7.033709743	0.013676395	0.014433189
spermidine	0.746030096	0.296161434	0.379416106	0.147996201	0.95507545	3.559828851	7.619729736	1.039780078	0.161891935	0.23691786	0.616076854	1.747332685	16.29430513	20.16198091	2.021863981	1.550379535	0.960219922	2.225776632	0.405629418	7.321959391
1-methyladenine	0.620441724	0.385622106	1.015495805	0.20844744	0.354061061	0.20844744	1	5.384666956	7.459898182	7.600912163	0.446908756	0.554335171	2.205000122	1.385799737	0.20844744	0.20844744	0.20844744	4.965610809	0.414627289	0.20844744
1-methylnicotinamide	2.552808954	3.831641419	3.199073677	3.969668346	0.763875544	1.112319609	0.369584807	0.028574958	2.994088932	2.363669562	7.024543745	2.233506954	0.028574958	0.028574958	0.887680391	0.064031821	0.48586307	0.278600109	0.061017034	0.050177311
12,13-DiHOME	6.260087908	1.161987518	2.111686181	1.562597317	1.38589173	0.058669591	0.086044237	0.058669591	0.058669591	1	5.959404542	0.191380604	1.191284215	12.25411107	0.995543662	0.68868459	0.503206148	0.058669591	0.168676787	0.07331832
5-hydroxyindoleacetate	0.522667114	1.089065354	1.213021474	0.910934646	0.688434366	0.522667114	0.522667114	0.522667114	2.917761809	0.522667114	2.199758603	0.788926481	1.937124856	1.874543302	0.538395221	0.522667114	0.888388696	0.522667114	0.522667114	0.522667114
alpha-ketoglutarate	0.562116231	0.469337023	1.311312985	0.518702621	0.368916081	0.20265041	2.512323263	1.157676353	1.844601452	0.842323647	4.418195603	10.52612334	1.411946486	6.566054842	0.763152632	2.100853012	0.287488686	0.181913176	0.399733542	1.185080302
kynurenate	0.852271198	2.757891657	3.887567379	2.464865728	1.10577742	0.883856058	0.89422258	0.184764746	2.588899374	1.639210995	1.691091354	0.604492131	4.226653621	0.184764746	0.244053856	0.184764746	0.611630021	0.749311778	0.657232822	2.207722846
3-hydroxyisobutyrate	0.156200421	3.924365846	0.156200421	4.404271973	0.156200421	0.221102038	0.156200421	0.156200421	0.156200421	0.532558821	1.3804713	0.156200421	0.804097189	1.035473061	1	1.265987636	0.272990227	1.194488826	0.657717509	0.156200421
3-hydroxy-3-methylglutarate	3.349387341	2.902016974	2.529306728	3.422633894	2.011742978	0.054459423	0.174294103	0.141854837	6.968565462	2.325492544	0.373769703	0.278953771	0.052099185	0.265346977	0.966397192	1.033602808	3.291949538	16.86772782	0.287875213	0.301522959
3-hydroxyphenylacetate	6.735573939	1.018870741	0.732235028	0.888496076	0.49069033	0.49069033	0.49069033	0.49069033	0.49069033	0.49069033	0.49069033	0.49069033	1.1620354	1	1.15781266	1.066782154	0.636168658	0.705716216	0.49069033	0.49069033
cholate	0.540240393	1.246536401	0.816085187	0.754401912	0.125553804	0.014818813	19.21493829	14.17340174	20.42047224	21.83007488	1.098507491	0.901492509	1.570670988	1.993198651	0.015632307	0.033199945	1.689217623	10.74534033	0.001793992	0.030781057
4-hydroxyphenylacetate	0.621749426	0.962405216	6.672501676	0.433595538	0.773997673	0.249349921	0.6196798	0.855504525	4.738528489	1.369187723	14.03983871	7.000788598	39.04545242	33.63363082	1.037594784	0.127007452	13.73246273	18.47331451	0.732423057	0.319232573
5,6-dihydrothymine	11.34707048	1.176185927	8.839593043	1.132786045	1.362967005	0.867213955	14.30810453	0.702268248	0.401211966	0.38435837	0.856246799	0.495787336	0.342688959	0.342688959	0.342688959	0.342688959	1.787160968	17.97508524	0.492721176	0.342688959
hypoxanthine	2.158048387	0.573597812	3.193448268	0.376048411	1.580631897	0.804564544	3.491227023	0.353070027	0.731567205	0.219205463	1.012289523	1.591652365	1.268389011	1.594379729	2.668286567	0.987710477	0.45635645	1.059332981	0.724253836	0.622076578
guanine	1.064127927	0.910531169	3.504307963	0.703085296	0.844806015	0.602760758	2.709242044	0.009171741	1.669308097	0.466738024	0.935872073	1.703594394	0.697526949	4.589461567	1.585078088	1.918316108	1.290930409	1.089128996	0.135343205	0.520873847
9,10-DiHOME	1.659454047	0.07374851	0.954398232	0.07374851	0.688793755	0.07374851	0.586420494	1.501113169	0.358029504	2.212295976	8.997883141	0.347523594	1.997073354	14.27430963	1.475047563	0.957699576	1	1.279158335	0.07374851	0.098956271
laurate (12:0)	0.310328043	0.404446564	0.21504	0.267202289	3.473701303	1.039560194	10.99447332	33.17494339	0.546971276	0.54135242	0.180890982	0.311851075	18.36195466	3.359475884	4.842302178	1.111856506	0.960439806	3.959502945	0.71579379	1.548706362
quinolinate	1	0.661716107	1.283053651	0.944190982	0.390170096	0.271335222	0.855902623	0.271335222	5.457000868	5.942000922	1.266211982	1.43937678	0.271335222	0.271335222	1.640251375	1.162043008	0.338241021	0.455400302	0.271335222	0.271335222
N('1)-acetylspermidine	11.22806666	0.329508735	8.017252529	0.197203714	0.909487137	1.039086997	10.14318662	1.228239954	0.553758208	0.960913003	0.472360676	1.701565701	2.483392841	1.059599016	7.231855945	0.732945189	0.329051281	1.528913034	0.092097566	0.259493271
N6,N6,N6-trimethyllysine	0.455513457	2.288989878	1.06432	0.305741387	0.343571707	0.142060038	0.93568	2.553437016	3.198027774	2.542018913	3.643233269	0.922741906	3.796874684	1.877835848	0.395911745	0.276475678	1.466860623	9.219724374	0.096186872	0.166215318
N-acetylputrescine	0.403867627	0.214286191	2.863854373	0.014032651	4.33930972	1.074074309	0.153234456	0.209867219	1.499180851	2.183001774	0.656216915	1.374152199	2.562199245	0.925925691	1.373169509	0.000812188	2.222181105	2.822813644	0.009807343	0.02233516
N-formylmethionine	1.141741409	0.690511511	0.761911721	0.559561695	0.978691372	0.199699007	4.932505396	0.676974872	2.008994337	1.087513184	2.025652667	1.78713079	0.565790032	0.932596736	1.64997198	1.571258095	1.021308628	2.897104028	0.74283341	0.427219208
adenosine 5'-monophosphate (AMP)	1	1.308201895	2.094452534	1.619003331	0.712159906	0.463198579	0.463198579	1.065133369	0.463198579	0.463198579	0.564085167	0.463198579	0.463198579	0.855416727	3.299747669	1.847374159	0.465462695	0.637787112	0.923988199	1.668859632
5-methylthioadenosine (MTA)	11.14939689	0.604193624	8.086666831	0.659855375	1.014210503	0.707465582	0.413718696	3.948633037	0.413718696	0.413718696	0.502158761	0.413718696	3.863678817	0.413718696	1	0.413718696	0.834539802	1.162567325	0.413718696	0.413718696
N6-methyladenosine	1.057685299	2.796820404	2.395984983	2.635561006	3.685823164	0.347281759	0.887461024	0.239097293	1.115274239	0.942314701	2.864551727	3.317876861	5.486986299	3.034760924	0.629325738	0.229288514	0.23699908	0.1566422	0.109310613	0.271560454
arachidonate (20:4n6)	0.411517462	0.364742823	0.364742823	0.364742823	0.791914497	0.364742823	1.701514782	31.77947065	1.837673148	8.921076947	0.882969404	0.996807238	0.996896837	1.424410107	0.364742823	0.364742823	1	4.216570201	0.364742823	0.364742823
arginine	1.400192905	0.794637572	0.21357193	1.298338502	1.449581488	1.064064061	1.449165354	0.083609252	0.062582214	0.026041438	0.935935939	0.787474375	1.756094014	1.584794099	1.145374587	0.829111425	6.65478292	3.539940922	0.165691634	0.766165773
argininosuccinate	1	2.114064993	1.392021853	2.163406371	0.965349424	0.391408313	1.10504863	0.391408313	0.576715376	0.391408313	0.391408313	0.391408313	0.392799714	0.391408313	1.863667259	0.391408313	0.391408313	0.518426991	0.391408313	0.391408313
aspartate	0.805874832	1.042004261	1.232606023	0.918158972	0.622937315	0.236286311	2.321851645	0.957995739	0.768868223	0.406650071	1.144186454	1.345591234	1.207042663	2.141592811	1.146896428	1.651259186	0.712096371	1.482601328	0.164626661	0.116703098
2-hydroxyphenylacetate	2.162411176	1.472988966	0.64507194	1.958114893	0.478432972	0.194936722	0.194936722	0.240699613	0.194936722	0.194936722	1.087690805	0.194936722	1.042776494	0.194936722	2.323507934	0.972084989	0.412289051	1	2.268199147	0.796010918
3-(4-hydroxyphenyl)lactate	1.013068873	0.218164124	1.27175416	0.070293892	0.21617055	0.035987215	4.728968047	1.04801039	5.91025881	4.690345671	2.623512704	4.510167396	4.697742134	3.304881895	0.986931127	0.031306533	0.032656159	0.270739495	0.927986777	0.038912136
phenylpyruvate	0.199336909	0.750723286	0.199336909	0.625123699	0.744439052	0.199336909	1.734861425	0.507273827	2.683232378	2.629299532	2.872503167	6.056053854	1.249276714	4.348094245	0.316228703	1.436467466	1.401759207	0.363032694	0.614493448	0.603415673
beta-alanine	0.644670603	3.036655295	4.329073466	2.689928074	0.137020506	0.418009402	0.202342371	0.571206368	2.368201772	1.355329397	2.928019578	2.382942948	7.133367428	4.72061355	2.832725472	0.415866406	0.256110878	0.347647174	0.030913332	0.045851467
carnosine	5.624317169	0.348100912	4.747058828	0.373128439	1.126414009	3.005785237	2.372129395	0.619049559	0.900314937	0.639017678	1.718383228	1	0.765997044	0.276874606	1.313066077	0.375231862	2.922901638	2.815700293	0.276874606	0.333978515
biliverdin	1.58359093	0.180417814	0.126726539	0.126726539	0.126726539	0.126726539	1.353228163	0.376293708	5.780871695	3.026555208	5.385130435	0.126726539	0.542379139	0.253137882	0.277925744	1.174760058	0.825239942	2.720077268	0.126726539	0.126726539
biotin	0.369559677	0.320085708	0.320085708	0.320085708	0.43059363	0.320085708	0.320085708	0.320085708	0.320085708	0.320085708	0.320085708	0.320085708	1.267980336	0.320085708	0.320085708	0.320085708	0.732019664	1.467773062	2.658447322	1.289780103
succinate	18.37320513	13.27389122	6.94063183	13.73729986	0.829452963	0.091540265	12.0814465	9.560356211	1.869944864	0.201162733	0.728272905	1.130202506	0.5190653	0.869797494	0.396537469	5.132519831	0.420439973	4.77893248	0.220336731	0.17615432
3-hydroxybutyrate (BHBA)	4.205766841	23.39728842	0.243154662	28.48609895	0.765195865	0.419097897	4.240382262	0.243154662	0.243154662	0.684758779	0.97426834	0.243154662	0.874110973	0.520326939	1	1.503679002	0.243154662	1.80161824	3.025248417	0.243154662
cholesterol	0.715742786	1.230117046	0.829623199	1.034488043	0.63094588	0.422233705	0.715649156	0.002756086	1.146112282	1.488170842	1.44279975	1.068321554	1.562859688	0.982810763	0.951728664	1.017189237	0.328233682	1.225430759	0.633944145	1.075640939
choline phosphate	15.14079805	0.197694434	1.765556129	0.268977496	120.4432309	2.198544192	0.097775151	13.77233134	1.505041932	0.233106904	0.16487383	0.097775151	0.097775151	0.097775151	0.262250072	0.521467817	40.19480546	2.614442562	1	0.472614003
creatinine	1.460158466	0.962360462	1.745030131	1.037639538	0.456212566	0.3097426	19.9253884	5.668316439	3.883756535	6.019673642	0.030861998	0.395272439	0.030861998	0.32152257	0.030861998	0.140907563	26.18182352	82.04872494	0.057778832	0.032377424
cysteinylglycine	1.198151551	0.474041451	3.502523332	0.38333615	2.720046541	0.662715764	1.538591053	0.38333615	2.097269309	1	3.534244972	0.406026777	0.968058328	0.694807938	0.38333615	0.38333615	0.693507986	1.713525659	0.38333615	0.38333615
