MODULE	NODE
darkgreen_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified
darkgreen_meta	ANAEROFRUCAT-PWY: homolactic fermentation|unclassified
darkgreen_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified
darkgreen_meta	ARO-PWY: chorismate biosynthesis I|unclassified
darkgreen_meta	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified
darkgreen_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified
darkgreen_meta	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified
darkgreen_meta	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified
darkgreen_meta	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified
darkgreen_meta	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified
darkgreen_meta	LACTOSECAT-PWY: lactose and galactose degradation I
darkgreen_meta	LACTOSECAT-PWY: lactose and galactose degradation I|g__Enterococcus.s__Enterococcus_faecalis
darkgreen_meta	P161-PWY: acetylene degradation|unclassified
darkgreen_meta	PWY-1042: glycolysis IV (plant cytosol)|unclassified
darkgreen_meta	PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified
darkgreen_meta	PWY-5103: L-isoleucine biosynthesis III|unclassified
darkgreen_meta	PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified
darkgreen_meta	PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified
darkgreen_meta	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified
darkgreen_meta	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified
darkgreen_meta	PWY-6151: S-adenosyl-L-methionine cycle I|unclassified
darkgreen_meta	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified
darkgreen_meta	PWY-6317: galactose degradation I (Leloir pathway)|unclassified
darkgreen_meta	PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)
darkgreen_meta	PWY-6527: stachyose degradation|unclassified
darkgreen_meta	PWY-6609: adenine and adenosine salvage III|unclassified
