Pathway	ID1	ID7	ID13	ID19	ID25	ID31	ID37	ID43	ID49	ID55	ID61	ID67	ID73	ID79	ID85	ID91	ID97	ID103	ID109	ID115
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified_meta	4.00876307154852	3.01022671970444	4.21027551345812	3.86184277556491	0	0	2.57971670455064	2.49270119325391	3.7228774178085	4.26908047619416	0	1.47887582135296	0	0	4.1841928834994	4.43929150118088	3.73181920460519	0	4.2586011477874	3.71350133249539
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified_meta	4.11229580355783	3.21412053638434	4.09234088954335	4.21432665965026	0	3.0132627135435	0	0	3.72418385467017	3.67624750593683	2.61511586341522	0	2.30876297055007	2.80386934227281	3.76873445186337	3.66060085705993	3.54771903432492	3.15634914528623	3.53856515595496	3.48258687432121
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified_meta	4.46109771662583	3.2676545604009	4.41541909845297	4.43707692520477	0	3.1124525224303	2.98714551261667	2.26501302008629	3.64313390041073	3.62723274764689	2.50562389137672	2.19644316099887	2.57413016153568	3.20979875261373	3.86589948260816	3.88900613799225	4.17658024817546	3.93975295186593	4.33233468902172	3.85117048264426
ARO-PWY: chorismate biosynthesis I|unclassified_meta	3.95589825402064	2.97301620631026	2.94648950697554	3.37490816183919	0	2.87328211379743	3.03594288121538	2.15214933761561	4.3787048737297	4.32288021665069	0	0	2.18843382946232	2.60655627461863	4.3250673186597	3.81635096015841	4.13122760926438	3.86101809050787	4.35391518451281	3.72118932306782
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified_meta	4.2773964078458	3.93744315817503	3.98099294331879	4.19866703930425	3.4641627911081	0	2.63221252875103	2.91465778377632	4.52515789451864	5.09298917510383	2.89789891320523	2.26815616089844	2.30621748785277	3.04293069538299	4.58250935792491	4.09698108354323	3.93039716196521	3.5509842682641	4.66534294102223	3.97426514189156
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified_meta	4.4315843613347	3.60429059500243	4.48223841833018	4.23847376580828	0	2.28951201142619	3.27772569627579	2.38959546998318	4.84420283436609	4.51937697582279	1.68610631816407	2.83256018962082	2.31601549996557	2.88152159940916	3.98546118189024	4.2716996397832	2.97658003470938	2.92319383826339	5.0656284023903	4.33724890989223
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified_meta	3.42910757650607	2.95649756030271	3.47473590599695	3.94579621553507	0	0	2.7643360121128	0	2.58252477030767	3.76258520252939	0	0	0	0	2.74537167594623	3.81921888283766	3.83663113250337	4.13968911454333	3.49090096474393	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified_meta	3.86500686674456	0	3.73445493290523	3.63330596009535	0	2.63807112919373	0	2.85090879318012	2.88059074604106	3.08601163818371	2.04706942327287	1.74966409485926	2.08508806999147	2.24351744596306	3.29304036685039	2.89763421121401	3.28946102792208	3.21668542769889	3.51940106957271	3.15795315864094
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified_meta	4.27170941036301	3.25389541796924	4.54771478687591	4.41016330966681	0	3.29806401369833	0	2.50905439851986	3.79057149915407	3.89746149942923	2.78778516912106	0	2.30497423671595	2.98973935181758	4.10907224222668	3.69294368393175	3.79024851450207	3.69775990591987	3.890940319206	3.83241253765881
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified_meta	4.84775551518644	4.22673739026122	5.18626226988261	4.67580570758632	3.90067485808455	0	2.6750930309441	3.00278732802767	4.88221841904795	5.38490323635566	3.17190580323389	2.34041060253403	2.55883067645336	3.33391732817888	4.71841851092343	4.76671914521677	4.22219966682915	3.49327506986306	4.7253680813002	4.20865490839951
