"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Biosynthesis of unsaturated fatty acids",36,0.30194,4,0.00015129,3.8202,0.012708,0.012708,0
"Glycerophospholipid metabolism",36,0.30194,3,0.0028068,2.5518,0.23296,0.11788,0.15471
"alpha-Linolenic acid metabolism",13,0.10903,2,0.0048102,2.3178,0.39444,0.13469,0.33333
"Arachidonic acid metabolism",36,0.30194,2,0.034843,1.4579,1,0.69368,0.3135
"Linoleic acid metabolism",5,0.041935,1,0.04129,1.3842,1,0.69368,0
"Ascorbate and aldarate metabolism",8,0.067097,1,0.065303,1.1851,1,0.78364,0
"Taurine and hypotaurine metabolism",8,0.067097,1,0.065303,1.1851,1,0.78364,0.28571
"Histidine metabolism",16,0.13419,1,0.12665,0.8974,1,1,0.12295
"Ether lipid metabolism",20,0.16774,1,0.15591,0.80713,1,1,0
"Sphingolipid metabolism",21,0.17613,1,0.16308,0.7876,1,1,0
"Lysine degradation",25,0.20968,1,0.19121,0.71849,1,1,0.01878
"Galactose metabolism",27,0.22645,1,0.20495,0.68836,1,1,0
"Phosphatidylinositol signaling system",28,0.23484,1,0.21173,0.67421,1,1,0.03736
"Inositol phosphate metabolism",30,0.25161,1,0.22514,0.64754,1,1,0.12939
"Fatty acid biosynthesis",47,0.39419,1,0.33094,0.48026,1,1,0
