"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.051613,3,1.0665e-05,4.972,0.0008959,0.0008959,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.025806,2,0.00022336,3.651,0.018539,0.0093813,0
"Valine, leucine and isoleucine degradation",40,0.25806,3,0.0016867,2.773,0.13831,0.047226,0.03252
"Pantothenate and CoA biosynthesis",19,0.12258,2,0.0060446,2.2186,0.48961,0.12694,0.00714
"D-Arginine and D-ornithine metabolism",4,0.025806,1,0.025582,1.5921,1,0.42978,0
"D-Glutamine and D-glutamate metabolism",6,0.03871,1,0.038151,1.4185,1,0.53257,0
"Thiamine metabolism",7,0.045161,1,0.044381,1.3528,1,0.53257,0
"Ubiquinone and other terpenoid-quinone biosynthesis",9,0.058065,1,0.056731,1.2462,1,0.58662,1
"Phenylalanine metabolism",10,0.064516,1,0.062852,1.2017,1,0.58662,0.2619
"Arginine biosynthesis",14,0.090323,1,0.086981,1.0606,1,0.70961,0
"Butanoate metabolism",15,0.096774,1,0.092925,1.0319,1,0.70961,0
"Fructose and mannose metabolism",20,0.12903,1,0.12213,0.91319,1,0.78913,0.03313
"Citrate cycle (TCA cycle)",20,0.12903,1,0.12213,0.91319,1,0.78913,0.05856
"Galactose metabolism",27,0.17419,1,0.16159,0.79159,1,0.93572,0
"Alanine, aspartate and glutamate metabolism",28,0.18065,1,0.16709,0.77704,1,0.93572,0.04808
"Tyrosine metabolism",42,0.27097,1,0.24082,0.6183,1,1,0.08276
