"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Histidine metabolism",16,0.13419,2,0.0072958,2.1369,0.61285,0.52368,0.04918
"beta-Alanine metabolism",21,0.17613,2,0.012469,1.9042,1,0.52368,0
"Arginine and proline metabolism",38,0.31871,2,0.038514,1.4144,1,1,0.06099
"Caffeine metabolism",10,0.083871,1,0.081002,1.0915,1,1,0.30769
"Arginine biosynthesis",14,0.11742,1,0.11167,0.95206,1,1,0.22843
"Nicotinate and nicotinamide metabolism",15,0.12581,1,0.11919,0.92376,1,1,0
"Pantothenate and CoA biosynthesis",19,0.15935,1,0.14868,0.82775,1,1,0
"Lysine degradation",25,0.20968,1,0.19121,0.71849,1,1,0
"Alanine, aspartate and glutamate metabolism",28,0.23484,1,0.21173,0.67421,1,1,0.04808
"Pyrimidine metabolism",39,0.3271,1,0.28293,0.54831,1,1,0.0743
"Tryptophan metabolism",41,0.34387,1,0.29522,0.52985,1,1,0.10493
"Tyrosine metabolism",42,0.35226,1,0.3013,0.52101,1,1,0
"Purine metabolism",65,0.54516,1,0.4283,0.36825,1,1,0.01217
