"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine biosynthesis",14,0.063226,2,0.0015512,2.8093,0.1303,0.1303,0.11675
"Alanine, aspartate and glutamate metabolism",28,0.12645,2,0.006251,2.204,0.51884,0.26254,0.02403
"Synthesis and degradation of ketone bodies",5,0.022581,1,0.022406,1.6496,1,0.62738,0
"Caffeine metabolism",10,0.045161,1,0.044381,1.3528,1,0.92303,0
"Butanoate metabolism",15,0.067742,1,0.065931,1.1809,1,0.92303,0
"Nicotinate and nicotinamide metabolism",15,0.067742,1,0.065931,1.1809,1,0.92303,0
"Citrate cycle (TCA cycle)",20,0.090323,1,0.087063,1.0602,1,1,0.02981
"Pyruvate metabolism",22,0.099355,1,0.0954,1.0205,1,1,0
"Glycine, serine and threonine metabolism",33,0.14903,1,0.1401,0.85357,1,1,0.0726
"Valine, leucine and isoleucine degradation",40,0.18065,1,0.16755,0.77587,1,1,0.02711
"Tyrosine metabolism",42,0.18968,1,0.17525,0.75635,1,1,0.02463
