MODULE	NODE
red_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Alistipes.s__Alistipes_finegoldii
red_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sartorii
red_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_finegoldii
red_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Dielma.s__Dielma_fastidiosa
red_meta	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii
red_meta	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Dielma.s__Dielma_fastidiosa
red_meta	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_sartorii
red_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_finegoldii
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Dielma.s__Dielma_fastidiosa
red_meta	COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Dielma.s__Dielma_fastidiosa
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	COA-PWY: coenzyme A biosynthesis I|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	GLUCONEO-PWY: gluconeogenesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dielma.s__Dielma_fastidiosa
red_meta	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol|g__Hungatella.s__Hungatella_hathewayi
red_meta	HISDEG-PWY: L-histidine degradation I|g__Alistipes.s__Alistipes_finegoldii
red_meta	HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_sartorii
red_meta	HISDEG-PWY: L-histidine degradation I|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_finegoldii
red_meta	HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii
red_meta	HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	HSERMETANA-PWY: L-methionine biosynthesis III|g__Alistipes.s__Alistipes_finegoldii
red_meta	HSERMETANA-PWY: L-methionine biosynthesis III|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	NAD-BIOSYNTHESIS-II: NAD salvage pathway II|unclassified
red_meta	NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Alistipes.s__Alistipes_finegoldii
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Dielma.s__Dielma_fastidiosa
red_meta	P161-PWY: acetylene degradation|g__Dielma.s__Dielma_fastidiosa
red_meta	PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PENTOSE-P-PWY: pentose phosphate pathway|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PENTOSE-P-PWY: pentose phosphate pathway|g__Dielma.s__Dielma_fastidiosa
red_meta	PENTOSE-P-PWY: pentose phosphate pathway|g__Lachnoclostridium.s__Clostridium_clostridioforme
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_finegoldii
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	PPGPPMET-PWY: ppGpp biosynthesis|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Dielma.s__Dielma_fastidiosa
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	PWY-1042: glycolysis IV (plant cytosol)|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	PWY-2942: L-lysine biosynthesis III|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PWY-2942: L-lysine biosynthesis III|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	PWY-2942: L-lysine biosynthesis III|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PWY-3841: folate transformations II|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	PWY-3841: folate transformations II|g__Dielma.s__Dielma_fastidiosa
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Alistipes.s__Alistipes_putredinis
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PWY-4702: phytate degradation I|g__Citrobacter.s__Citrobacter_amalonaticus
red_meta	PWY-5030: L-histidine degradation III|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-5030: L-histidine degradation III|g__Alistipes.s__Alistipes_putredinis_CAG_67
red_meta	PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_sartorii
red_meta	PWY-5030: L-histidine degradation III|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	PWY-5088: L-glutamate degradation VIII (to propanoate)
red_meta	PWY-5097: L-lysine biosynthesis VI|g__Alistipes.s__Alistipes_finegoldii
red_meta	PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_cellulosilyticus
red_meta	PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_xylanisolvens
red_meta	PWY-5097: L-lysine biosynthesis VI|g__Lachnoclostridium.s__Clostridium_hylemonae
red_meta	PWY-5097: L-lysine biosynthesis VI|g__Lachnoclostridium.s__Clostridium_saccharolyticum
red_meta	PWY-5100: pyruvate fermentation to acetate and lactate II|g__Dielma.s__Dielma_fastidiosa
