NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
1-(1-enyl-oleoyl)-GPE (P-18:1)*_feces	1-(1-enyl-oleoyl)-GPE (P-18:1)*_feces	#F6FF7F	100	Ellipse	1:F6FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=F6FF7F	grey60_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*_feces	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*_feces	#B9B2FF	100	Ellipse	1:F6FF7F,1:B9B2FF	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1,1&chco=F6FF7F|B9B2FF	grey60_feces,DEG_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*_feces	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*_feces	#F6FF7F	100	Ellipse	1:F6FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=F6FF7F	grey60_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-(1-enyl-palmitoyl)-GPE (P-16:0)*_feces	1-(1-enyl-palmitoyl)-GPE (P-16:0)*_feces	#F6FF7F	100	Ellipse	1:F6FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=F6FF7F	grey60_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-dihomo-linolenylglycerol (20:3)_feces	1-dihomo-linolenylglycerol (20:3)_feces	#DCFF7F	100	Ellipse	1:DCFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=DCFF7F	darkgrey_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-methyl-5-imidazoleacetate_serum	1-methyl-5-imidazoleacetate_serum	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	cyan_serum	Not a KD	Not a KD	Not a KD	Not a KD	20
1-stearoyl-GPE (18:0)_feces	1-stearoyl-GPE (18:0)_feces	#F6FF7F	100	Ellipse	1:F6FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=F6FF7F	grey60_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
1-stearoyl-GPI (18:0)_feces	1-stearoyl-GPI (18:0)_feces	#DCFF7F	100	Ellipse	1:DCFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=DCFF7F	darkgrey_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
10-undecenoate (11:1n1)_serum	10-undecenoate (11:1n1)_serum	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	cyan_serum	Not a KD	Not a KD	Not a KD	Not a KD	20
2-butenoylglycine_serum	2-butenoylglycine_serum	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	cyan_serum	Not a KD	Not a KD	Not a KD	Not a KD	20
