,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000000001,2.197224577,0.693147181,2.564949357,1.791759469,1.386294361,3.17805383,1.098612289,2.890371758,3.091042453,1.609437912,2.890371758,2.890371758,2.772588722,2.944438979,1.098612289,2.197224577,1.098612289,0,2.833213344,2.302585093
ENSMUSG00000000028,0,0.693147181,0,0,0,0,0,1.098612289,0,0,0,0,0.693147181,0,0.693147181,0,0,0,0,0
ENSMUSG00000000031,0,3.135494216,0,2.079441542,0,1.791759469,0,0,0,0,0,0,0,0,0,0,0,0,3.044522438,0
ENSMUSG00000000037,0,0,0,0,0,0,0,1.386294361,0,0,0,0,1.791759469,1.945910149,0,0.693147181,0,0,2.302585093,0
ENSMUSG00000000049,2.944438979,0,0,0,0,0,2.63905733,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0
ENSMUSG00000000056,3.80666249,3.784189634,4.158883083,4.317488114,3.496507561,3.871201011,4.700480366,4.343805422,3.784189634,3.63758616,4.442651256,4.394449155,3.526360525,3.761200116,3.80666249,3.951243719,3.663561646,4.672828834,4.110873864,3.784189634
ENSMUSG00000000058,3.871201011,2.833213344,3.218875825,3.218875825,3.526360525,2.079441542,3.36729583,3.33220451,2.197224577,3.465735903,2.564949357,1.609437912,1.791759469,3.044522438,3.091042453,1.609437912,2.708050201,3.044522438,3.218875825,2.890371758
ENSMUSG00000000078,4.48863637,5.176149733,3.828641396,4.955827058,3.931825633,5.446737372,5.117993812,4.584967479,5.323009979,4.543294782,5.056245805,5.043425117,4.343805422,4.48863637,4.394449155,4.276666119,4.753590191,5.117993812,4.779123493,4.804021045
ENSMUSG00000000085,3.970291914,4.454347296,4.317488114,4.779123493,5.010635294,4.418840608,5.043425117,4.430816799,4.33073334,4.204692619,4.442651256,5.023880521,4.691347882,4.290459441,3.610917913,4.477336814,4.532599493,3.713572067,4.875197323,4.543294782
ENSMUSG00000000088,5.407171771,6.309918278,5.697093487,6.091309882,5.783825182,5.937536205,5.743003188,5.758901774,5.897153868,5.472270674,5.796057751,5.805134969,5.442417711,5.905361848,5.129898715,5.81711116,5.455321115,5.697093487,6.023447593,6.126869184
ENSMUSG00000000093,0,0,0,3.135494216,0,0,1.945910149,0,0,1.098612289,0,0,1.386294361,0,0,0,0,0,0,2.397895273
ENSMUSG00000000120,0,2.772588722,0,1.791759469,1.386294361,0,2.079441542,2.302585093,3.135494216,1.386294361,0,1.609437912,2.944438979,0,0,0.693147181,1.098612289,0,0,2.48490665
ENSMUSG00000000125,0,0,0,1.098612289,0.693147181,0,0,0,0,0.693147181,2.48490665,0,1.945910149,0,0,0,2.302585093,0,0,2.48490665
ENSMUSG00000000126,0,2.995732274,0,2.63905733,0.693147181,3.33220451,2.708050201,2.890371758,3.17805383,2.197224577,2.48490665,1.945910149,2.63905733,2.564949357,0.693147181,2.197224577,2.772588722,2.197224577,2.890371758,1.945910149
ENSMUSG00000000127,4.143134726,4.521788577,3.988984047,4.204692619,4.691347882,2.708050201,4.077537444,4.33073334,2.833213344,3.218875825,3.912023005,4.276666119,3.610917913,3.828641396,3.17805383,3.044522438,3.784189634,4.007333185,3.891820298,3.891820298
ENSMUSG00000000131,4.127134385,5.068904202,3.583518938,4.127134385,4.553876892,4.394449155,3.931825633,3.871201011,4.17438727,3.850147602,3.583518938,4.158883083,4.077537444,2.772588722,3.33220451,4.430816799,3.295836866,3.951243719,4.382026635,3.871201011
ENSMUSG00000000134,2.302585093,3.583518938,3.80666249,4.430816799,4.454347296,3.891820298,3.465735903,3.80666249,3.891820298,3.688879454,4.290459441,3.465735903,3.63758616,4.043051268,2.833213344,3.135494216,3.218875825,3.17805383,3.891820298,3.951243719
ENSMUSG00000000142,2.564949357,2.63905733,2.197224577,2.63905733,1.945910149,0.693147181,3.295836866,3.496507561,2.995732274,0.693147181,3.218875825,2.708050201,2.302585093,1.098612289,2.48490665,3.828641396,2.708050201,2.197224577,3.218875825,1.791759469
ENSMUSG00000000148,0,2.48490665,2.079441542,2.564949357,0,2.197224577,0,3.295836866,2.564949357,2.197224577,2.63905733,2.397895273,2.302585093,0,2.197224577,2.708050201,2.772588722,2.833213344,0,1.386294361
ENSMUSG00000000149,0,2.995732274,2.63905733,2.302585093,2.772588722,2.302585093,2.63905733,2.890371758,2.772588722,2.772588722,3.401197382,2.197224577,3.295836866,3.433987204,2.302585093,3.555348061,2.397895273,1.386294361,3.258096538,3.135494216
ENSMUSG00000000154,0,0,2.48490665,0,0.693147181,0,0,0,0,0,2.079441542,0.693147181,0.693147181,0,0,0.693147181,1.098612289,0,0,0.693147181
ENSMUSG00000000159,0,0,0,0,0,0,0,1.945910149,0,0,0,0,0,0,0.693147181,2.833213344,0,0,0,0
ENSMUSG00000000167,0,1.098612289,1.945910149,1.945910149,2.302585093,2.944438979,0,2.079441542,0,0,1.609437912,0,0,0,2.63905733,0,0,2.708050201,0,0
ENSMUSG00000000168,4.510859507,4.9698133,4.043051268,4.477336814,4.86753445,5.209486153,4.158883083,4.234106505,4.691347882,4.094344562,4.691347882,4.189654742,4.33073334,4.532599493,3.871201011,4.158883083,4.804021045,4.043051268,4.394449155,4.727387819
