,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000000001,2.564949357,1.945910149,3.135494216,2.564949357,2.397895273,1.791759469,2.995732274,1.609437912,3.526360525,2.397895273,1.945910149,0,2.772588722,0,2.995732274,3.258096538,3.135494216,2.197224577,2.708050201,2.890371758
ENSMUSG00000000028,0,0,0,0.693147181,0,0,1.098612289,0,0,2.079441542,0,3.33220451,0,0,0,0,0,0,0,1.945910149
ENSMUSG00000000037,0,0,2.197224577,1.945910149,0,0,0.693147181,0,0,0,2.564949357,0,0,2.197224577,0,0,0,0,1.609437912,0.693147181
ENSMUSG00000000056,3.784189634,3.891820298,3.295836866,3.465735903,4.477336814,4.727387819,4.204692619,3.401197382,4.189654742,3.295836866,3.80666249,4.317488114,4.927253685,4.605170186,3.526360525,2.302585093,1.791759469,3.828641396,4.454347296,4.418840608
ENSMUSG00000000058,2.63905733,2.708050201,2.079441542,3.258096538,3.828641396,2.772588722,3.135494216,0.693147181,0,2.833213344,2.995732274,0,4.094344562,3.295836866,1.609437912,2.564949357,0,2.302585093,1.791759469,2.197224577
ENSMUSG00000000078,3.80666249,4.727387819,4.382026635,5.313205979,4.852030264,4.532599493,4.465908119,4.553876892,4.718498871,4.709530201,5.257495372,3.828641396,4.584967479,4.700480366,4.875197323,4.276666119,4.828313737,4.553876892,4.290459441,4.795790546
ENSMUSG00000000085,4.521788577,3.091042453,4.369447852,3.850147602,4.605170186,3.36729583,4.189654742,4.779123493,3.17805383,3.912023005,4.406719247,4.17438727,2.944438979,3.17805383,4.382026635,5.214935758,3.091042453,4.564348191,4.219507705,3.970291914
ENSMUSG00000000088,5.545177444,5.153291594,5.897153868,5.814130532,5.393627546,5.38907173,5.351858133,6.115892125,5.950642553,5.356586275,5.575949103,5.38907173,6.148468296,5.905361848,5.370638028,5.433722004,5.80814249,5.262690189,5.438079309,5.313205979
ENSMUSG00000000093,2.772588722,0,0,0,1.609437912,0,1.098612289,1.098612289,0,0,0,0,2.397895273,0,0,0,2.397895273,0,3.465735903,0
ENSMUSG00000000094,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0
ENSMUSG00000000120,0,0,0,0,2.772588722,0,3.258096538,0,3.970291914,0,1.609437912,0.693147181,0,0,1.386294361,0.693147181,0,2.833213344,0,0
ENSMUSG00000000125,0,1.609437912,0,0,0,0,0,0,0.693147181,2.197224577,0,0,0,0,1.098612289,0,0,0,0,2.63905733
ENSMUSG00000000126,2.197224577,1.791759469,2.079441542,0,0,2.197224577,2.48490665,3.713572067,0,3.33220451,1.945910149,0,0,3.465735903,2.079441542,0,3.912023005,0,1.098612289,3.218875825
ENSMUSG00000000127,3.713572067,2.079441542,3.091042453,4.094344562,3.555348061,3.610917913,3.951243719,0.693147181,4.158883083,2.564949357,2.995732274,3.555348061,0,3.688879454,4.317488114,4.127134385,4.143134726,4.624972813,2.995732274,4.584967479
ENSMUSG00000000131,4.007333185,3.761200116,3.555348061,3.218875825,4.356708827,3.663561646,3.828641396,4.976733742,4.510859507,3.218875825,3.496507561,2.079441542,4.663439094,4.49980967,4.189654742,4.158883083,4.248495242,4.143134726,4.33073334,3.80666249
ENSMUSG00000000134,4.025351691,3.401197382,2.772588722,4.077537444,3.295836866,3.044522438,2.995732274,3.36729583,2.397895273,2.833213344,3.713572067,1.609437912,3.091042453,4.077537444,4.025351691,3.931825633,2.708050201,3.465735903,3.401197382,3.828641396
ENSMUSG00000000142,2.48490665,1.609437912,3.496507561,3.218875825,0.693147181,0,0,1.609437912,3.63758616,0,1.791759469,2.397895273,3.555348061,3.36729583,2.564949357,3.663561646,0,2.397895273,2.079441542,3.17805383
ENSMUSG00000000148,0.693147181,3.401197382,1.791759469,3.17805383,0.693147181,1.386294361,0,3.663561646,1.386294361,0,0,3.583518938,3.555348061,2.48490665,2.397895273,2.63905733,2.079441542,1.609437912,0,1.098612289
ENSMUSG00000000149,3.17805383,2.079441542,3.465735903,3.912023005,2.302585093,2.079441542,2.302585093,2.995732274,2.079441542,1.791759469,3.583518938,2.564949357,2.890371758,3.871201011,2.772588722,0.693147181,4.356708827,3.135494216,2.564949357,0.693147181
ENSMUSG00000000154,0,0,0,0.693147181,0,1.098612289,0,0,0,0,1.098612289,0,3.091042453,0,0,0.693147181,0,0,0,0.693147181
ENSMUSG00000000159,0,0,2.397895273,0.693147181,0,0,0.693147181,0,0,0,0,0.693147181,0,0,0.693147181,0,0,0,1.098612289,0
ENSMUSG00000000167,0,0,0,0,1.098612289,0,0,0,0,3.091042453,2.079441542,0,0,0,1.609437912,4.110873864,0,1.791759469,0,2.197224577
ENSMUSG00000000168,4.890349128,4.543294782,4.983606622,4.828313737,4.941642423,3.688879454,4.442651256,4.86753445,3.713572067,3.688879454,4.532599493,3.828641396,4.96284463,5.117993812,4.532599493,4.624972813,3.526360525,4.624972813,3.583518938,4.290459441
ENSMUSG00000000171,3.761200116,2.302585093,3.044522438,2.944438979,3.044522438,2.944438979,1.945910149,2.995732274,2.944438979,2.302585093,2.772588722,3.891820298,0,3.36729583,2.995732274,3.663561646,2.995732274,2.833213344,1.609437912,1.609437912
ENSMUSG00000000184,6.188264123,5.97126184,6.104793232,6.208590026,6.364750757,5.880532986,6.298949247,6.054439346,6.37502482,5.978885765,5.697093487,5.950642553,5.545177444,5.899897354,6.300785795,6.059123196,6.167516491,6.070737728,5.549076085,6.173786104
