,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
mevalonate,0,0.895174709,1.100331426,4.719221352,2.396128404,0.559390176,1.138346658,1,0.850003382,1.26493243,0.334951233,0.71270917,0.829011268,2.191263883,5.836665179,0.356608904,2.467224003,0,0,0.221105745
S-1-pyrroline-5-carboxylate,0.347430879,1.611352164,2.525480384,0.506939428,1.306545622,0.714234608,1.046048366,0,0.948418162,1.644976266,0,0.953951634,1.375694482,1.968262715,0.761906467,3.030617648,0.622084152,0.561675051,0,0
putrescine,0,2.908256354,1.096208553,3.198942738,0.617410544,2.828780294,0.190817927,1,1.830203645,6.842016244,0.286153246,0.062153429,0.409774508,0.217894726,0.802035467,0,0.271326318,0,4.451589994,2.691555681
spermidine,0.229169111,2.054753944,2.487646091,0.840172258,2.290050374,1.648982765,2.810165911,1.605503898,0.217405287,0.18507764,0.786068621,0.425268632,1.125681841,0.874318159,1.628494324,1.796656103,1.378632754,0.179533704,0.226535621,0.16329138
1-methyladenine,0,1.193854538,0,0.391711013,0,0,0,1.002601755,0.962454096,1.736917548,0,0,0,0,0,0,0.038596735,0,0.997398245,1.117812759
1-methylnicotinamide,0.463475889,1.002491986,1.508651038,1.061474039,0.995000975,0.997508014,0.806113997,1.509112258,1.242000546,3.023633825,0.843249323,0.865147046,0.876662793,1.937191257,2.603222437,1.662412143,1.924841682,0.807952488,0.354057693,0.339003547
"12,13-DiHOME",0.544711161,0.978507871,1.124154033,1.10007962,1.132073036,0.784804338,1.352352568,0.733664368,0.861503535,0.912864075,0.716766551,1.012809202,1,0.880009899,0.819380037,1.181088002,1.259411885,0,1.001888295,1.102570448
5-hydroxyindoleacetate,0.234902591,1.150906478,1.686164054,0.958001944,1.184308837,0.897257322,1.190660525,0.793149643,0,0.357477919,0.632692389,0.454933863,1.054731015,2.310197355,1.610962262,1.041998056,3.234192621,0,0.479436251,0.38545831
2-oxoadipate,2.246586229,0,0.876762787,0.893412381,1.204768855,1.345900604,0,0.982174963,0,1.42329251,0.925871535,1,0,0.369318817,0.749403969,0,1.068124337,0.566089219,1.134544433,1.434623903
alpha-ketoglutarate,0.350932488,2.625475614,2.223499748,1.032235758,1.29988517,2.098270021,8.397849094,1.392716363,1.063096911,1.561054826,0.967764242,0.735235487,0.809140857,0.581379142,1.084411179,0.7239552,0.437703547,0.452894638,0.636925818,0.421488027
kynurenate,1.462771091,1.08940097,1.163681997,1.428230268,1.154071545,1.005179095,1.596042209,0.994820905,1.22651511,1.529302315,0.948362658,0.88741338,0.962511702,1.176028356,0.320564802,0.756205784,0.885807774,0.756055078,0.690538226,0.530325382
3-hydroxyisobutyrate,0,0.822321575,0,0.477842447,0,1.347718001,0.551273182,1.113116089,0,1.018154796,0.981845204,0.926341932,1.146409252,1.604158468,0.717220779,1.398425297,1.860862933,1.110417436,0.802091456,0.470220708
3-hydroxy-3-methylglutarate,0.540910676,2.094974154,1.669351192,3.153249786,2.570081542,2.865663235,1.266858195,2.262518632,0.502571167,0.424557709,0.924451376,0.882964007,1.572185224,0.563916106,1.761091271,0.840673868,0.389982029,1.075548624,0.498361887,0.596906361
3-hydroxyphenylacetate,0,0.872871917,0,0.739106717,0,0.9945562,1,1.315115354,0,0,1.363950449,1.026866689,0,1.134947153,0,0.856915559,0,0,0,0
cholate,0,0.185120017,2.031810175,1.103202381,0.872284536,3.508811103,2.09159258,0.161958449,0.130925304,0.05567887,2.440154341,0.351938642,3.674913805,0.896797619,1.535966938,1.660597977,0.264570061,0,0,0
