,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
mevalonate,0.951597635,1.595549335,0.698928393,1.101637309,1.019652921,0.939659569,0.867034025,0.640642541,1.066720869,0.927996859,1.361837292,0.965274191,0.992467629,0.860453181,1.279993026,1.007532371,1.043038626,1.091848323,1.085194159,0.879840522
S-1-pyrroline-5-carboxylate,2.40658573,4.136012839,0.73340478,2.16695477,11.34225602,1.615673382,1.372293086,2.679396633,1.6867397,2.964563023,0.711312017,0.89802772,1.10197228,0.767960841,0.889498241,0.870156331,0.644000554,0.565604079,0.663506841,0.56356592
putrescine,0.800647451,1.017643351,0.982356649,1.057006057,1.126749307,0.900209214,1.030328551,1.560928449,1.37704246,1.045720775,0.868697737,0.826664959,0.470705919,0.746668534,0.878113883,0.906415604,1.053737863,1.264688076,1.582970499,0.778919932
spermidine,4.559018112,2.242175948,3.541775772,1.509830538,2.849136458,1.006587828,1.871231931,4.890307062,2.184733331,1.818218034,0.973243541,0.762160481,0.949993687,0.906895273,0.993412172,0.649499198,0.871993043,0.573968318,0.835555919,0.529076878
1-methylnicotinamide,0.725836978,1.027021733,0.791329375,1.049518841,1.393189877,1.536307801,1.107666276,1.092610215,1.295778666,1.002181288,1.002378237,0.936222582,0.905702224,0.885075604,1.074322499,0.997818712,0.518764841,0.39149892,0.547072029,0.525081067
"12,13-DiHOME",2.35926526,1.642430172,1.121597747,2.048056393,3.781934932,2.296066835,0.906418479,0.615146786,0.942446414,1.022084193,1.002232187,0.936752059,1.171535753,0.859090963,0.901843188,0.607343044,0.865066569,1.744837448,0.592862547,0.997767813
5-hydroxyindoleacetate,0.539738967,1.559891248,1.060835723,0.994598034,2.159566099,0.794314125,1.253222676,1.973605009,1.0804595,1.059673937,0.983639028,1.005401966,1.040966344,1.008875587,0.823512154,0.906511907,0.569139009,0.549164852,0.813722478,0.632905599
2-oxoadipate,1.022505308,1.684368275,1.466751872,0.774137409,2.349370972,0.698414982,3.094903102,0.979002773,0.798729406,0.729774852,1.110294635,1.484604408,1.020997227,1.479222851,0.755860499,1.256319147,0.385655555,0.289334117,0.741469693,0.362048049
alpha-ketoglutarate,0.393981886,1.793850983,0.803765286,1.11407753,1.764465487,1.205429892,0.888872425,1.195222017,0.791523835,0.868805906,1.436629611,1.111386937,1.276158883,1.559529596,0.706472066,0.667409763,0.792443832,0.830041493,1.111127575,0.853440193
kynurenate,0.590352423,1.084374091,0.578085958,0.983842714,1.343518201,0.691415743,1.473667649,0.971895449,1.109355032,1.207484156,1.216534167,1.043609667,1.386953362,1.416368248,1.016157286,0.613199432,0.651527414,0.468852772,0.942484775,0.525269435
