	ensbl	gene
0	ENSMUSG00000000001	Gnai3
1	ENSMUSG00000000028	Cdc45
2	ENSMUSG00000000031	H19
3	ENSMUSG00000000037	Scml2
4	ENSMUSG00000000049	Apoh
5	ENSMUSG00000000056	Narf
6	ENSMUSG00000000058	Cav2
7	ENSMUSG00000000078	Klf6
8	ENSMUSG00000000085	Scmh1
9	ENSMUSG00000000088	Cox5a
10	ENSMUSG00000000093	Tbx2
11	ENSMUSG00000000120	Ngfr
12	ENSMUSG00000000125	Wnt3
13	ENSMUSG00000000126	Wnt9a
14	ENSMUSG00000000127	Fer
15	ENSMUSG00000000131	Xpo6
16	ENSMUSG00000000134	Tfe3
17	ENSMUSG00000000142	Axin2
18	ENSMUSG00000000148	Brat1
19	ENSMUSG00000000149	Gna12
20	ENSMUSG00000000154	Slc22a18
21	ENSMUSG00000000159	Igsf5
22	ENSMUSG00000000167	Pih1d2
23	ENSMUSG00000000168	Dlat
24	ENSMUSG00000000171	Sdhd
25	ENSMUSG00000000184	Ccnd2
26	ENSMUSG00000000194	Gpr107
27	ENSMUSG00000000197	Nalcn
28	ENSMUSG00000000202	Btbd17
29	ENSMUSG00000000204	Slfn4
30	ENSMUSG00000000214	Th
31	ENSMUSG00000000223	Drp2
32	ENSMUSG00000000247	Lhx2
33	ENSMUSG00000000253	Gmpr
34	ENSMUSG00000000263	Glra1
35	ENSMUSG00000000266	Mid2
36	ENSMUSG00000000275	Trim25
37	ENSMUSG00000000276	Dgke
38	ENSMUSG00000000278	Scpep1
39	ENSMUSG00000000282	Mnt
40	ENSMUSG00000000290	Itgb2
41	ENSMUSG00000000295	Hddc2
42	ENSMUSG00000000296	Tpd52l1
43	ENSMUSG00000000301	Pemt
44	ENSMUSG00000000303	Cdh1
45	ENSMUSG00000000305	Cdh4
46	ENSMUSG00000000308	Ckmt1
47	ENSMUSG00000000317	Bcl6b
48	ENSMUSG00000000318	Clec10a
49	ENSMUSG00000000320	Alox12
50	ENSMUSG00000000326	Comt
51	ENSMUSG00000000339	Rtca
52	ENSMUSG00000000340	Dbt
53	ENSMUSG00000000346	Dazap2
54	ENSMUSG00000000355	Mcts1
55	ENSMUSG00000000359	Rem1
56	ENSMUSG00000000365	Rnf17
57	ENSMUSG00000000374	Trappc10
58	ENSMUSG00000000378	Ccm2
59	ENSMUSG00000000384	Tbrg4
60	ENSMUSG00000000385	Tmprss2
61	ENSMUSG00000000392	Fap
62	ENSMUSG00000000394	Gcg
63	ENSMUSG00000000399	Ndufa9
64	ENSMUSG00000000402	Egfl6
65	ENSMUSG00000000409	Lck
66	ENSMUSG00000000416	Cttnbp2
67	ENSMUSG00000000420	Galnt1
68	ENSMUSG00000000439	Mkrn2
69	ENSMUSG00000000440	Pparg
70	ENSMUSG00000000441	Raf1
71	ENSMUSG00000000486	Septin1
