Gene Symbol	Ensembl ID
TMEM69	ENSMUSG00000055900
CMYA5	ENSMUSG00000047419
9530051G07RIK	ENSMUSG00000085982
MPV17L	ENSMUSG00000022679
CNPY2	ENSMUSG00000025381
ZKSCAN14	ENSMUSG00000029627
CWC22	ENSMUSG00000027014
PIERCE1	ENSMUSG00000026831
LHFPL4	ENSMUSG00000042873
PPIL6	ENSMUSG00000078451
DOCK4	ENSMUSG00000035954
DDX55	ENSMUSG00000029389
FEM1B	ENSMUSG00000032244
ROM1	ENSMUSG00000071648
UFSP1	ENSMUSG00000051502
SGSM1	ENSMUSG00000042216
TMEM114	ENSMUSG00000022715
MYH9	ENSMUSG00000022443
OGFOD3	ENSMUSG00000025169
CREG2	ENSMUSG00000050967
CRYBG1	ENSMUSG00000019866
BMPR1B	ENSMUSG00000052430
CELF6	ENSMUSG00000032297
GNAZ	ENSMUSG00000040009
BMI1	ENSMUSG00000026739
RWDD3	ENSMUSG00000028133
DUSP12	ENSMUSG00000026659
PHIP	ENSMUSG00000032253
CD276	ENSMUSG00000035914
PHF11B	ENSMUSG00000091649
NDOR1	ENSMUSG00000006471
BRIP1OS	ENSMUSG00000085208
SEMA6A	ENSMUSG00000019647
MARVELD2	ENSMUSG00000021636
ATP6V1D	ENSMUSG00000021114
ABCC9	ENSMUSG00000030249
L3MBTL3	ENSMUSG00000039089
GSTO1	ENSMUSG00000025068
NR1H2	ENSMUSG00000060601
UBE2R2	ENSMUSG00000036241
AGFG2	ENSMUSG00000029722
D030028A08RIK	ENSMUSG00000078700
NEBL	ENSMUSG00000053702
TBX2	ENSMUSG00000000093
CCM2	ENSMUSG00000000378
CENPU	ENSMUSG00000031629
NAB1	ENSMUSG00000002881
POU3F1	ENSMUSG00000090125
9130019O22RIK	ENSMUSG00000030823
FBXO34	ENSMUSG00000037536
ZFP326	ENSMUSG00000029290
ABHD11	ENSMUSG00000040532
TAF9B	ENSMUSG00000047242
FUBP1	ENSMUSG00000028034
NR4A3	ENSMUSG00000028341
SCN2B	ENSMUSG00000070304
AU040320	ENSMUSG00000028830
SLC16A9	ENSMUSG00000037762
ZFP383	ENSMUSG00000099689
CTSB	ENSMUSG00000021939
B3GNT8	ENSMUSG00000059479
KCTD4	ENSMUSG00000046523
HMGA2	ENSMUSG00000056758
GABRB2	ENSMUSG00000007653
ATP5O	ENSMUSG00000022956
EIF3M	ENSMUSG00000027170
INO80B	ENSMUSG00000030034
GSTP1	ENSMUSG00000060803
RPL21	ENSMUSG00000041453
BTG1	ENSMUSG00000036478
MMUT	ENSMUSG00000023921
UNC5A	ENSMUSG00000025876
UFD1	ENSMUSG00000005262
HAUS8	ENSMUSG00000035439
TRPC7	ENSMUSG00000021541
ITGA2B	ENSMUSG00000034664
GKAP1	ENSMUSG00000021552
PSME3IP1	ENSMUSG00000031774
GOLGA2	ENSMUSG00000002546
TGS1	ENSMUSG00000028233
SNX5	ENSMUSG00000027423
UBE4B	ENSMUSG00000028960
CLEC3B	ENSMUSG00000025784
HSF4	ENSMUSG00000033249
CRH	ENSMUSG00000049796
SWAP70	ENSMUSG00000031015
TPK1	ENSMUSG00000029735
LONP2	ENSMUSG00000047866
ZBTB8A	ENSMUSG00000028807
FAM136A	ENSMUSG00000057497
SYPL2	ENSMUSG00000027887
AP3M2	ENSMUSG00000031539
ZFP513	ENSMUSG00000043059
SYT15	ENSMUSG00000041479
FBXO8	ENSMUSG00000038206
4930522L14RIK	ENSMUSG00000072762
FUT10	ENSMUSG00000046152
EZH1	ENSMUSG00000006920
NLE1	ENSMUSG00000020692
CELSR3	ENSMUSG00000023473
ELP1	ENSMUSG00000028431
MOB3C	ENSMUSG00000028709
HACD1	ENSMUSG00000063275
OCLN	ENSMUSG00000021638
