"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.042497,4,2.2758e-08,7.6429,1.9117e-06,1.9117e-06,0
"Valine, leucine and isoleucine degradation",40,0.21248,3,0.00088732,3.0519,0.073648,0.037267,0.03252
"Cysteine and methionine metabolism",33,0.1753,2,0.012009,1.9205,0.98477,0.33626,0.12441
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.021248,1,0.0211,1.6757,1,0.44311,0
"Phenylalanine metabolism",12,0.063745,1,0.062136,1.2067,1,1,0.2619
"Glycerolipid metabolism",16,0.084993,1,0.082083,1.0857,1,1,0.04361
"Pantothenate and CoA biosynthesis",19,0.10093,1,0.096799,1.0141,1,1,0
"Propanoate metabolism",23,0.12218,1,0.1161,0.93517,1,1,0.04061
"Glycine, serine and threonine metabolism",34,0.18061,1,0.16732,0.77644,1,1,0
"Glycerophospholipid metabolism",36,0.19124,1,0.17635,0.75361,1,1,0.08093
"Fatty acid biosynthesis",47,0.24967,1,0.2245,0.64878,1,1,0
