"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycerophospholipid metabolism",36,0.19124,4,1.8032e-05,4.744,0.0015147,0.0015147,0.26445
"Synthesis and degradation of ketone bodies",5,0.02656,1,0.026314,1.5798,1,0.7368,0
"Linoleic acid metabolism",5,0.02656,1,0.026314,1.5798,1,0.7368,0
"Ascorbate and aldarate metabolism",10,0.053121,1,0.052021,1.2838,1,0.80988,0
"alpha-Linolenic acid metabolism",13,0.069057,1,0.067158,1.1729,1,0.80988,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,0.074369,1,0.072156,1.1417,1,0.80988,0.00399
"Butanoate metabolism",15,0.079681,1,0.077131,1.1128,1,0.80988,0
"Nicotinate and nicotinamide metabolism",15,0.079681,1,0.077131,1.1128,1,0.80988,0
"Ether lipid metabolism",20,0.10624,1,0.10166,0.99286,1,0.89404,0
"beta-Alanine metabolism",21,0.11155,1,0.10649,0.97267,1,0.89404,0.05597
"Galactose metabolism",27,0.14343,1,0.13504,0.86955,1,0.89404,0
"Glutathione metabolism",28,0.14874,1,0.13972,0.85476,1,0.89404,0
"Phosphatidylinositol signaling system",28,0.14874,1,0.13972,0.85476,1,0.89404,0.03736
"Inositol phosphate metabolism",30,0.15936,1,0.14901,0.8268,1,0.89404,0.12939
"Arachidonic acid metabolism",36,0.19124,1,0.17635,0.75361,1,0.97281,0
"Arginine and proline metabolism",38,0.20186,1,0.1853,0.73213,1,0.97281,0
