"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine biosynthesis",14,0.11155,4,2.2239e-06,5.6529,0.0001868,0.00012682,0.17766
"Butanoate metabolism",15,0.11952,4,3.0196e-06,5.5201,0.00025062,0.00012682,0
"Citrate cycle (TCA cycle)",20,0.15936,3,0.00040886,3.3884,0.033527,0.011448,0.13541
"D-Glutamine and D-glutamate metabolism",6,0.047809,2,0.0008582,3.0664,0.069514,0.018022,0.5
"Alanine, aspartate and glutamate metabolism",28,0.22311,3,0.0011332,2.9457,0.090656,0.019038,0.2452
"Glutathione metabolism",28,0.22311,2,0.019615,1.7074,1,0.27461,0.01966
"Glyoxylate and dicarboxylate metabolism",32,0.25498,2,0.025286,1.5971,1,0.30343,0
"Arginine and proline metabolism",38,0.30279,2,0.034898,1.4572,1,0.36643,0.19663
"Tryptophan metabolism",41,0.32669,2,0.040169,1.3961,1,0.37491,0.13408
"Nitrogen metabolism",6,0.047809,1,0.046943,1.3284,1,0.39432,0
"Taurine and hypotaurine metabolism",8,0.063745,1,0.062136,1.2067,1,0.43495,0
"Sulfur metabolism",8,0.063745,1,0.062136,1.2067,1,0.43495,0.21277
"Histidine metabolism",16,0.12749,1,0.12071,0.91824,1,0.78,0
"Pyruvate metabolism",22,0.1753,1,0.16243,0.78935,1,0.94751,0.0311
"Propanoate metabolism",23,0.18327,1,0.1692,0.7716,1,0.94751,0
"Lysine degradation",25,0.1992,1,0.18259,0.73851,1,0.95862,0
"Porphyrin and chlorophyll metabolism",30,0.23904,1,0.21522,0.66712,1,1,0
"Cysteine and methionine metabolism",33,0.26295,1,0.23422,0.63038,1,1,0
"Aminoacyl-tRNA biosynthesis",48,0.38247,1,0.32304,0.49074,1,1,0
"Purine metabolism",66,0.5259,1,0.41713,0.37973,1,1,0
