"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Cysteine and methionine metabolism",33,0.19721,3,0.00073695,3.1326,0.061904,0.036667,0.25594
"Taurine and hypotaurine metabolism",8,0.047809,2,0.00087303,3.059,0.072461,0.036667,0.28571
"Glutathione metabolism",28,0.16733,2,0.011075,1.9557,0.90811,0.31009,0.01062
"Glycine, serine and threonine metabolism",34,0.20319,2,0.016132,1.7923,1,0.3354,0.08668
"Arginine and proline metabolism",38,0.22709,2,0.019964,1.6997,1,0.3354,0.13214
"Thiamine metabolism",7,0.041833,1,0.041171,1.3854,1,0.57639,0
"Phenylalanine metabolism",12,0.071713,1,0.069649,1.1571,1,0.83579,0.2381
"Nicotinate and nicotinamide metabolism",15,0.089641,1,0.086372,1.0636,1,0.90691,0
"Pantothenate and CoA biosynthesis",19,0.11355,1,0.10825,0.96555,1,1,0
"Tyrosine metabolism",42,0.251,1,0.22528,0.64728,1,1,0.02463
"Aminoacyl-tRNA biosynthesis",48,0.28685,1,0.25347,0.59608,1,1,0
