"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glyoxylate and dicarboxylate metabolism",32,0.12749,2,0.0062234,2.206,0.52277,0.52277,0.11112
"Nicotinate and nicotinamide metabolism",15,0.059761,1,0.058387,1.2337,1,1,0.1943
"Glycerolipid metabolism",16,0.063745,1,0.062176,1.2064,1,1,0.09346
"Citrate cycle (TCA cycle)",20,0.079681,1,0.077206,1.1123,1,1,0.09038
"Pentose phosphate pathway",22,0.087649,1,0.084646,1.0724,1,1,0
"Alanine, aspartate and glutamate metabolism",28,0.11155,1,0.10666,0.97198,1,1,0
"Cysteine and methionine metabolism",33,0.13147,1,0.12467,0.90422,1,1,0.02089
"Glycine, serine and threonine metabolism",34,0.13546,1,0.12824,0.89198,1,1,0.02247
"Biosynthesis of unsaturated fatty acids",36,0.14343,1,0.13533,0.86859,1,1,0
"Steroid hormone biosynthesis",77,0.30677,1,0.27053,0.56779,1,1,0
