"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Sphingolipid metabolism",21,0.13944,2,0.0077943,2.1082,0.65472,0.65472,0.22921
"Vitamin B6 metabolism",9,0.059761,1,0.058349,1.234,1,1,0.07843
"Arginine biosynthesis",14,0.092961,1,0.089424,1.0485,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,0.092961,1,0.089424,1.0485,1,1,0.00399
"Nicotinate and nicotinamide metabolism",15,0.099602,1,0.095527,1.0199,1,1,0
"Pentose and glucuronate interconversions",18,0.11952,1,0.11362,0.94456,1,1,0.07812
"Pantothenate and CoA biosynthesis",19,0.12616,1,0.11957,0.92237,1,1,0.02143
"Citrate cycle (TCA cycle)",20,0.1328,1,0.12549,0.90138,1,1,0.02981
"beta-Alanine metabolism",21,0.13944,1,0.13138,0.88148,1,1,0.39925
"Pyruvate metabolism",22,0.14608,1,0.13723,0.86256,1,1,0
"Propanoate metabolism",23,0.15272,1,0.14304,0.84454,1,1,0
"Glycolysis / Gluconeogenesis",26,0.17264,1,0.16027,0.79514,1,1,0.00021
"Alanine, aspartate and glutamate metabolism",28,0.18592,1,0.17159,0.76552,1,1,0.0024
"Glycerophospholipid metabolism",36,0.23904,1,0.21548,0.66659,1,1,0.10449
"Arginine and proline metabolism",38,0.25232,1,0.22612,0.64566,1,1,0.01407
"Pyrimidine metabolism",39,0.25896,1,0.23139,0.63565,1,1,0
"Tyrosine metabolism",42,0.27888,1,0.24701,0.60728,1,1,0.02463
