"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Histidine metabolism",16,0.28685,4,0.00012905,3.8893,0.01084,0.01084,0.18032
"Pantothenate and CoA biosynthesis",19,0.34064,3,0.0041158,2.3855,0.34161,0.15443,0.05714
"beta-Alanine metabolism",21,0.37649,3,0.0055154,2.2584,0.45226,0.15443,0.21642
"Vitamin B6 metabolism",9,0.16135,2,0.010316,1.9865,0.83556,0.21663,0.56863
"Phenylalanine metabolism",12,0.21514,2,0.018295,1.7377,1,0.30735,0
"Pyrimidine metabolism",39,0.6992,3,0.030568,1.5147,1,0.42795,0.08697
"Sphingolipid metabolism",21,0.37649,2,0.052726,1.278,1,0.63271,0
"Linoleic acid metabolism",5,0.089641,1,0.086595,1.0625,1,0.90925,0
"Porphyrin and chlorophyll metabolism",30,0.53785,2,0.099019,1.0043,1,0.92417,0.12753
"Glycerophospholipid metabolism",36,0.64542,2,0.1344,0.87159,1,1,0.11182
"Taurine and hypotaurine metabolism",8,0.14343,1,0.13504,0.86955,1,1,0.42857
"alpha-Linolenic acid metabolism",13,0.23307,1,0.21032,0.67711,1,1,0
"Nicotinate and nicotinamide metabolism",15,0.26892,1,0.23864,0.62226,1,1,0.13816
"Pentose phosphate pathway",22,0.39442,1,0.33023,0.48118,1,1,0
"Propanoate metabolism",23,0.41235,1,0.34242,0.46544,1,1,0
"Glyoxylate and dicarboxylate metabolism",32,0.57371,1,0.4429,0.3537,1,1,0.04233
"Cysteine and methionine metabolism",33,0.59163,1,0.4531,0.3438,1,1,0.02184
"Glycine, serine and threonine metabolism",34,0.60956,1,0.46313,0.3343,1,1,0.20661
"Arachidonic acid metabolism",36,0.64542,1,0.48265,0.31637,1,1,0
"Biosynthesis of unsaturated fatty acids",36,0.64542,1,0.48265,0.31637,1,1,0
"Arginine and proline metabolism",38,0.68127,1,0.50149,0.29974,1,1,0.06099
"Valine, leucine and isoleucine degradation",40,0.71713,1,0.51966,0.28428,1,1,0.02711
"Tryptophan metabolism",41,0.73506,1,0.52851,0.27695,1,1,0
"Tyrosine metabolism",42,0.75299,1,0.5372,0.26987,1,1,0
"Primary bile acid biosynthesis",46,0.8247,1,0.57044,0.24379,1,1,0.02239
"Aminoacyl-tRNA biosynthesis",48,0.86056,1,0.58618,0.23197,1,1,0.16667
