"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Butanoate metabolism",15,0.049801,2,0.00091061,3.0407,0.076491,0.076491,0
"Arginine biosynthesis",14,0.046481,1,0.045684,1.3402,1,0.95048,0
"Nicotinate and nicotinamide metabolism",15,0.049801,1,0.048882,1.3108,1,0.95048,0
"Histidine metabolism",16,0.053121,1,0.052072,1.2834,1,0.95048,0
"Pantothenate and CoA biosynthesis",19,0.063081,1,0.061589,1.2105,1,0.95048,0
"beta-Alanine metabolism",21,0.069721,1,0.067891,1.1682,1,0.95048,0
"Alanine, aspartate and glutamate metabolism",28,0.092961,1,0.089683,1.0473,1,1,0.22356
"Fatty acid biosynthesis",47,0.15604,1,0.14678,0.83332,1,1,0
"Aminoacyl-tRNA biosynthesis",48,0.15936,1,0.14971,0.82475,1,1,0
"Purine metabolism",66,0.21912,1,0.20098,0.69684,1,1,0.00459
