"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Nicotinate and nicotinamide metabolism",15,0.059761,2,0.001358,2.8671,0.11408,0.11408,0
"Linoleic acid metabolism",5,0.01992,1,0.019788,1.7036,1,0.49784,0
"D-Glutamine and D-glutamate metabolism",6,0.023904,1,0.023707,1.6251,1,0.49784,0
"Nitrogen metabolism",6,0.023904,1,0.023707,1.6251,1,0.49784,0
"Phenylalanine metabolism",12,0.047809,1,0.046943,1.3284,1,0.65502,0
"alpha-Linolenic acid metabolism",13,0.051793,1,0.05077,1.2944,1,0.65502,0
"Arginine biosynthesis",14,0.055777,1,0.054585,1.2629,1,0.65502,0
"Alanine, aspartate and glutamate metabolism",28,0.11155,1,0.10666,0.97198,1,0.98772,0.11378
"Glyoxylate and dicarboxylate metabolism",32,0.12749,1,0.1211,0.91687,1,0.98772,0
"Arachidonic acid metabolism",36,0.14343,1,0.13533,0.86859,1,0.98772,0
"Glycerophospholipid metabolism",36,0.14343,1,0.13533,0.86859,1,0.98772,0.09446
"Pyrimidine metabolism",39,0.15538,1,0.14589,0.83598,1,0.98772,0
"Tryptophan metabolism",41,0.16335,1,0.15286,0.8157,1,0.98772,0.00202
"Aminoacyl-tRNA biosynthesis",48,0.19124,1,0.1769,0.75227,1,1,0
"Purine metabolism",66,0.26295,1,0.23612,0.62687,1,1,0
