"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Pentose and glucuronate interconversions",18,0.22709,4,4.9649e-05,4.3041,0.0041705,0.0041705,0.29688
"Glutathione metabolism",28,0.35325,3,0.004573,2.3398,0.37955,0.19206,0.03394
"Glycerophospholipid metabolism",36,0.45418,3,0.0093481,2.0293,0.76655,0.26175,0.11685
"Arginine biosynthesis",14,0.17663,2,0.012543,1.9016,1,0.26339,0.11675
"Ether lipid metabolism",20,0.25232,2,0.025034,1.6015,1,0.35047,0
"Citrate cycle (TCA cycle)",20,0.25232,2,0.025034,1.6015,1,0.35047,0.07393
"Pyruvate metabolism",22,0.27756,2,0.029983,1.5231,1,0.35979,0.0311
"Alanine, aspartate and glutamate metabolism",28,0.35325,2,0.046909,1.3287,1,0.46262,0.19952
"Riboflavin metabolism",4,0.050465,1,0.049566,1.3048,1,0.46262,0.5
"Glyoxylate and dicarboxylate metabolism",32,0.40372,2,0.059743,1.2237,1,0.47714,0
"Nitrogen metabolism",6,0.075697,1,0.073468,1.1339,1,0.47714,0
"D-Glutamine and D-glutamate metabolism",6,0.075697,1,0.073468,1.1339,1,0.47714,0.5
"Arginine and proline metabolism",38,0.47942,2,0.080979,1.0916,1,0.47714,0.19468
"Pyrimidine metabolism",39,0.49203,2,0.084725,1.072,1,0.47714,0.11157
"Thiamine metabolism",7,0.088313,1,0.085204,1.0695,1,0.47714,0
"Butanoate metabolism",15,0.18924,1,0.17415,0.75907,1,0.91251,0
"Histidine metabolism",16,0.20186,1,0.18468,0.73359,1,0.91251,0
"Pantothenate and CoA biosynthesis",19,0.23971,1,0.21549,0.66657,1,1,0
"beta-Alanine metabolism",21,0.26494,1,0.23542,0.62816,1,1,0
"Pentose phosphate pathway",22,0.27756,1,0.2452,0.61048,1,1,0.04712
"Lysine degradation",25,0.31541,1,0.27384,0.5625,1,1,0.14085
"Porphyrin and chlorophyll metabolism",30,0.37849,1,0.3193,0.4958,1,1,0
"Glycine, serine and threonine metabolism",34,0.42895,1,0.35371,0.45135,1,1,0
"Tryptophan metabolism",41,0.51726,1,0.41,0.38721,1,1,0.0139
"Tyrosine metabolism",42,0.52988,1,0.41766,0.37918,1,1,0.02463
"Aminoacyl-tRNA biosynthesis",48,0.60558,1,0.46163,0.33571,1,1,0
