"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Sphingolipid metabolism",21,0.44622,4,0.00078104,3.1073,0.065608,0.065608,0.46856
"Purine metabolism",66,1.4024,6,0.002077,2.6826,0.17239,0.074947,0.11371
"Nicotinate and nicotinamide metabolism",15,0.31873,3,0.0033363,2.4767,0.27358,0.074947,0.22588
"Glycerolipid metabolism",16,0.33997,3,0.0040471,2.3929,0.32782,0.074947,0.34268
"Cysteine and methionine metabolism",33,0.7012,4,0.0044611,2.3506,0.35689,0.074947,0.16524
"Taurine and hypotaurine metabolism",8,0.16999,2,0.011312,1.9465,0.89363,0.15836,0.28571
"Glycerophospholipid metabolism",36,0.76494,3,0.038682,1.4125,1,0.46418,0.33882
"Pentose phosphate pathway",22,0.46746,2,0.077599,1.1101,1,0.76909,0.02775
"Riboflavin metabolism",4,0.084993,1,0.082402,1.0841,1,0.76909,0
"Linoleic acid metabolism",5,0.10624,1,0.10195,0.99161,1,0.85639,0
"Thiamine metabolism",7,0.14874,1,0.13985,0.85435,1,1,0
"Glycine, serine and threonine metabolism",34,0.72244,2,0.16134,0.79225,1,1,0.02247
"Arachidonic acid metabolism",36,0.76494,2,0.1766,0.753,1,1,0.33292
"alpha-Linolenic acid metabolism",13,0.27623,1,0.24447,0.61177,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,0.29748,1,0.26066,0.58392,1,1,0.00399
"Retinol metabolism",16,0.33997,1,0.29205,0.53455,1,1,0.24551
"Pantothenate and CoA biosynthesis",19,0.40372,1,0.33672,0.47273,1,1,0
"Pyruvate metabolism",22,0.46746,1,0.37865,0.42176,1,1,0
"Lysine degradation",25,0.53121,1,0.41801,0.37881,1,1,0
"Galactose metabolism",27,0.57371,1,0.4429,0.3537,1,1,0
"Phosphatidylinositol signaling system",28,0.59495,1,0.45495,0.34203,1,1,0.00152
"Glutathione metabolism",28,0.59495,1,0.45495,0.34203,1,1,0.00343
"Glyoxylate and dicarboxylate metabolism",32,0.67995,1,0.50069,0.30043,1,1,0.07937
"Biosynthesis of unsaturated fatty acids",36,0.76494,1,0.5427,0.26544,1,1,0
"Fatty acid degradation",39,0.82869,1,0.57194,0.24265,1,1,0
"Pyrimidine metabolism",39,0.82869,1,0.57194,0.24265,1,1,0.06965
"Tryptophan metabolism",41,0.87118,1,0.59041,0.22884,1,1,0.10493
"Aminoacyl-tRNA biosynthesis",48,1.0199,1,0.6492,0.18762,1,1,0
"Steroid hormone biosynthesis",77,1.6361,1,0.81685,0.087859,1,1,0.02572
