"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycerophospholipid metabolism",36,0.31076,3,0.0030457,2.5163,0.25584,0.14963,0.11453
"Arginine and proline metabolism",38,0.32802,3,0.0035625,2.4482,0.29569,0.14963,0.09187
"beta-Alanine metabolism",21,0.18127,2,0.013173,1.8803,1,0.3611,0.05597
"Neomycin, kanamycin and gentamicin biosynthesis",2,0.017264,1,0.017195,1.7646,1,0.3611,0
"Glutathione metabolism",28,0.2417,2,0.022917,1.6398,1,0.385,0.00719
"Sulfur metabolism",8,0.069057,1,0.067158,1.1729,1,0.94021,0.21277
"Arginine biosynthesis",14,0.12085,1,0.11477,0.94018,1,1,0.07614
"Starch and sucrose metabolism",15,0.12948,1,0.12248,0.91194,1,1,0.14607
"Glycerolipid metabolism",16,0.13811,1,0.13013,0.88562,1,1,0.04361
"Citrate cycle (TCA cycle)",20,0.17264,1,0.16012,0.79555,1,1,0
"Sphingolipid metabolism",21,0.18127,1,0.16747,0.77606,1,1,0.0142
"Pyruvate metabolism",22,0.18991,1,0.17476,0.75756,1,1,0
"Glycolysis / Gluconeogenesis",26,0.22444,1,0.20333,0.69181,1,1,0.1055
"Inositol phosphate metabolism",30,0.25896,1,0.23098,0.63643,1,1,0
"Porphyrin and chlorophyll metabolism",30,0.25896,1,0.23098,0.63643,1,1,0.16019
"Cysteine and methionine metabolism",33,0.28486,1,0.25113,0.6001,1,1,0
"Amino sugar and nucleotide sugar metabolism",37,0.31939,1,0.27725,0.55713,1,1,0.01062
"Pyrimidine metabolism",39,0.33665,1,0.28999,0.53762,1,1,0.03727
"Aminoacyl-tRNA biosynthesis",48,0.41434,1,0.34479,0.46244,1,1,0
"Purine metabolism",66,0.56972,1,0.44288,0.35372,1,1,0
